Date,Temperature,Wind Speed,Solar Radiation,Energy Demand,Grid Utilization
9/6/2023 10:00,17.52,6.29,684.17,893.63,711.13
9/6/2023 11:00,11.66,8.99,415.21,1175.1,888.16
9/6/2023 12:00,8.6,7.71,925.39,1162.28,926.81
9/6/2023 13:00,15.13,4.32,220.58,434.93,320.82
9/6/2023 14:00,33.29,0.1,704.36,300.33,319.99
9/6/2023 15:00,14.7,7.44,103.92,348.28,313.14
9/6/2023 16:00,20.56,4.28,932.19,902.04,834.64
9/6/2023 17:00,26.09,11.02,201.25,925.76,565.26
9/6/2023 18:00,15.91,0.36,185.4,874.24,461.59
9/6/2023 19:00,34.15,8.77,399.71,536.08,295.8
9/6/2023 20:00,33.87,14.12,436.21,369.78,373.79
9/6/2023 21:00,12.55,2.62,292.87,780.76,524.42
9/6/2023 22:00,19.92,7.07,626.61,683.68,543.98
9/6/2023 23:00,14.03,1.37,498.62,928.83,567.36
9/7/2023 0:00,13.55,9.39,130.76,641.36,372.37
9/7/2023 1:00,6.11,8.26,387.69,538.64,385.12
9/7/2023 2:00,23.29,6.11,829.39,493.48,471.75
9/7/2023 3:00,20.08,7.82,720.73,411.47,370.32
9/7/2023 4:00,6.54,13.45,752.38,465.75,376.71
9/7/2023 5:00,13.36,2.94,728.31,294.83,283.04
9/7/2023 6:00,32.25,0.34,379.88,546.86,464.47
9/7/2023 7:00,12.19,12.92,189.7,236.57,190.83
9/7/2023 8:00,9.35,8.66,345.22,386.41,330.63
9/7/2023 9:00,19.68,13.36,848.61,946.77,691.5
9/7/2023 10:00,34.57,8.95,982.42,525.47,363.18
9/7/2023 11:00,12.26,12.15,544.46,868.24,602.46
9/7/2023 12:00,25.16,6.45,108.73,916.88,527.9
9/7/2023 13:00,27.85,11.25,226.04,781.19,530.25
9/7/2023 14:00,12.13,13.7,389.87,1158.7,936.11
9/7/2023 15:00,26.85,8.58,620.73,221.44,290.91
9/7/2023 16:00,16.03,2.71,167.58,938.65,733.24
9/7/2023 17:00,23.97,4.03,949.02,1158.79,913.11
9/7/2023 18:00,24.01,2.98,428.58,1062.27,691.29
9/7/2023 19:00,21.07,3.7,921.33,367.89,422.03
9/7/2023 20:00,7.71,4.6,802.47,526.82,565.16
9/7/2023 21:00,30.06,8.33,779.89,372.45,470.1
9/7/2023 22:00,14.62,8.82,646.05,801.31,580.35
9/7/2023 23:00,10.6,6.4,664.11,912.19,692.15
9/8/2023 0:00,6.22,9.23,674.2,517.07,372.7
9/8/2023 1:00,22.73,1.22,665.85,739.51,617.98
9/8/2023 2:00,25.33,1.32,598.36,890.92,731.76
9/8/2023 3:00,5.5,2.58,987.77,621.34,572.09
9/8/2023 4:00,20.36,7.77,759.06,1054.02,750.08
9/8/2023 5:00,11.79,3.21,799.25,971.55,760.47
9/8/2023 6:00,24.36,4.25,885.22,264.67,356.29
9/8/2023 7:00,10.23,6,294.08,821.13,554.95
9/8/2023 8:00,25.73,12.18,175.42,435.33,304
9/8/2023 9:00,16.6,0.21,534.6,757.52,552.72
9/8/2023 10:00,33.1,9.74,562.67,1156.89,855.49
9/8/2023 11:00,9.13,10.03,846.26,1079.06,852.5
9/8/2023 12:00,15.23,11.98,499.41,604.52,412.24
9/8/2023 13:00,8.4,13.99,613.77,491.51,365.73
9/8/2023 14:00,32.74,0.3,574.36,434.41,362.77
9/8/2023 15:00,31.32,2.31,134.38,732.51,503
9/8/2023 16:00,12.74,13.29,653.69,314.25,325.36
9/8/2023 17:00,24.8,6.88,845.24,749.28,585.77
9/8/2023 18:00,29.52,8.47,241.75,201.33,181.38
9/8/2023 19:00,21.66,9.95,634.9,523.85,423.75
9/8/2023 20:00,20.89,10.19,634.25,419.93,421.82
9/8/2023 21:00,12.26,13.98,247.77,1171.22,767.54
9/8/2023 22:00,7.79,14.95,211.12,927.24,581.31
9/8/2023 23:00,31.92,10.8,982.05,549.65,536.7
9/9/2023 0:00,32.01,4.31,454.35,292.85,331.9
9/9/2023 1:00,23.99,13.2,304.68,716.8,461.22
9/9/2023 2:00,15.17,0.74,254.19,413.45,318.97
9/9/2023 3:00,15.48,3.47,700.84,736.43,578.16
9/9/2023 4:00,26.78,13.46,648.5,1035.36,770.92
9/9/2023 5:00,31.91,3.84,679.2,815.79,592.2
9/9/2023 6:00,31.61,3.31,179.21,833.79,541.3
9/9/2023 7:00,28.4,2.07,904.18,741.03,680.64
9/9/2023 8:00,24.26,12.89,450.34,1127.27,718.29
9/9/2023 9:00,7.52,7.5,382.03,1131.9,688.33
9/9/2023 10:00,9.85,10.12,516.13,712.72,465.27
9/9/2023 11:00,31.96,3.59,451.06,505.76,334.78
9/9/2023 12:00,23.19,11.37,877.22,659.59,599.83
9/9/2023 13:00,5.28,11.4,936.33,386.56,347.77
9/9/2023 14:00,8.04,4.69,373.11,836.34,561.06
9/9/2023 15:00,24.91,6.16,877.54,700.09,625.86
9/9/2023 16:00,5.15,3.15,803.37,303.3,363.17
9/9/2023 17:00,9.82,14.65,937.73,397.65,405.39
9/9/2023 18:00,21.46,9.68,321.18,679.63,480.59
9/9/2023 19:00,25.76,14.02,619.26,1087.59,780.36
9/9/2023 20:00,24.56,4.55,347.09,766.39,517.59
9/9/2023 21:00,11.73,11.73,841.69,881.54,685.54
9/9/2023 22:00,26.37,11.49,104.79,539.03,455
9/9/2023 23:00,12.12,10.37,608.34,771.41,623.94
9/10/2023 0:00,14.76,14.48,405.28,647.38,592.07
9/10/2023 1:00,27.39,5.9,390.42,859.13,568.12
9/10/2023 2:00,24.49,1.96,680.42,250.58,281.98
9/10/2023 3:00,30.48,10.08,866.34,693.3,521.63
9/10/2023 4:00,24.73,10.94,648.28,495.99,385.68
9/10/2023 5:00,22.05,8.63,867.86,526.19,583.52
9/10/2023 6:00,7.81,3.1,338.14,1160.92,737.77
9/10/2023 7:00,16.03,7.57,567.55,382.69,438.33
9/10/2023 8:00,12.96,4.68,505.48,511.25,345.21
9/10/2023 9:00,12.32,6.41,110.48,709.89,394.72
9/10/2023 10:00,34.19,9.68,601.13,1063.03,740.01
9/10/2023 11:00,16.79,11.18,695.37,616.67,504.77
9/10/2023 12:00,31.76,3.48,632.72,943.87,738.67
9/10/2023 13:00,23.93,6.08,762.65,1056.37,808.29
9/10/2023 14:00,28.84,4.04,614.21,510.02,407.63
9/10/2023 15:00,20.08,2.98,160.08,592.75,380.7
9/10/2023 16:00,22.31,11.75,204.8,556.56,357.77
9/10/2023 17:00,19.78,13.64,636.83,1032.86,699.98
9/10/2023 18:00,10.86,5.55,347.48,244.35,171.15
9/10/2023 19:00,26.67,11.27,171.68,508.42,389.66
9/10/2023 20:00,13.42,13.45,486.64,879.41,532.22
9/10/2023 21:00,5.73,12.69,598.89,765.44,658.64
9/10/2023 22:00,24.36,2.74,395.87,636.29,443.52
9/10/2023 23:00,10.31,14.34,748.39,739.95,553.59
9/11/2023 0:00,33.21,5.65,679.39,397.58,410.85
9/11/2023 1:00,33.62,5.09,399.54,630.72,532.09
9/11/2023 2:00,32.45,0.94,779.39,701.7,632.69
9/11/2023 3:00,16.1,7.29,683.83,1101.19,821.84
9/11/2023 4:00,5.46,1.64,673.7,460.84,465.42
9/11/2023 5:00,32.85,3.73,598.08,1067.83,674.12
9/11/2023 6:00,17.85,4.75,110.25,844.24,502.03
9/11/2023 7:00,34,12.13,726.86,220.34,230.8
9/11/2023 8:00,33.91,13.13,438.44,924.63,702.39
9/11/2023 9:00,30.59,4.54,948.35,235.55,311.37
9/11/2023 10:00,13.83,12.88,836.19,1197.38,926.65
9/11/2023 11:00,16.55,12.86,628.93,1072.64,794.87
9/11/2023 12:00,30.53,11.47,326.96,497.34,319.54
9/11/2023 13:00,14.51,2.2,283.35,457.41,301.55
9/11/2023 14:00,10.08,10.35,406.35,581.44,493.79
9/11/2023 15:00,21.7,14.18,528.91,556.17,399.29
9/11/2023 16:00,33.08,10.24,366.46,572.34,421.91
9/11/2023 17:00,25.88,4.97,563.44,518.28,384.03
9/11/2023 18:00,22.1,7.51,248.83,821.13,526
9/11/2023 19:00,7.92,9.69,979.94,364.26,411.27
9/11/2023 20:00,23.45,7.66,197.13,1045.98,627.11
9/11/2023 21:00,34.7,1.8,938.75,1012.4,746.99
9/11/2023 22:00,9.2,4.68,922.22,676.48,604.18
9/11/2023 23:00,20.55,12.04,572.82,1052.73,702.76
9/12/2023 0:00,31.32,12.92,752.42,447.15,376.95
9/12/2023 1:00,27.22,2.06,492.44,217.57,181.87
9/12/2023 2:00,25.91,14.29,667.03,819.21,619.61
9/12/2023 3:00,26.07,4.93,406.52,657.91,522.74
9/12/2023 4:00,15.78,9.93,371.04,767.16,608.84
9/12/2023 5:00,13.81,11.28,620.41,1099.34,746.26
9/12/2023 6:00,29.28,12.18,548.32,1169.93,917.92
9/12/2023 7:00,29.3,14.19,621.58,834.45,573.33
9/12/2023 8:00,31.01,4.69,357.99,964.06,703.74
9/12/2023 9:00,32.4,12.88,430.26,283.81,218.96
9/12/2023 10:00,20.34,1.98,175.51,360.72,207.79
9/12/2023 11:00,20.05,10.58,147.05,933.2,551.04
9/12/2023 12:00,28.95,11.13,328.11,631.37,440.71
9/12/2023 13:00,24.5,10.17,166.82,645.97,448.93
9/12/2023 14:00,26.06,3.78,193.4,508.61,376.96
9/12/2023 15:00,28.87,13.1,831.64,807.36,602.23
9/12/2023 16:00,31.7,2.53,134.99,385.17,208.36
9/12/2023 17:00,15.14,0.8,693.05,826.92,588.85
9/12/2023 18:00,16.27,10.76,345.3,373.8,286.7
9/12/2023 19:00,7.82,7.13,884.39,263.83,323.95
9/12/2023 20:00,22.35,12.74,536.49,530.36,376.73
9/12/2023 21:00,6.08,5.75,375.02,431.14,346.59
9/12/2023 22:00,18.97,2.52,565.88,1088.99,879.45
9/12/2023 23:00,21.28,12.55,443.76,254.95,215.23
9/13/2023 0:00,13.6,8.23,607.87,376.61,325.04
9/13/2023 1:00,22.72,2.84,203.08,748.72,517.55
9/13/2023 2:00,5.92,10.81,997.29,681.07,579.08
9/13/2023 3:00,6.12,7.67,483,245.85,276.79
9/13/2023 4:00,29.68,9.06,413.41,207.25,170.2
9/13/2023 5:00,15.81,6.91,739.19,1188.07,951.59
9/13/2023 6:00,8.81,12.43,427.51,858.83,616.8
9/13/2023 7:00,20.67,12.44,849.95,565.41,476.99
9/13/2023 8:00,28.1,10.64,508.84,670.43,473.53
9/13/2023 9:00,11.47,1.58,747.6,466.55,403.6
9/13/2023 10:00,23.69,12.58,196.71,544.87,433.65
9/13/2023 11:00,7.56,10.07,861.51,849.04,617.28
9/13/2023 12:00,6.55,10.46,762.15,1082.81,767.67
9/13/2023 13:00,20.94,5.44,290.55,384.13,259.96
9/13/2023 14:00,21.22,13.19,230.76,1040.36,668.27
9/13/2023 15:00,24.12,10.88,384.66,321.56,255.22
9/13/2023 16:00,26.78,1.69,978.46,414.99,369.96
9/13/2023 17:00,34.28,6.12,331.15,237.18,187.93
9/13/2023 18:00,20.49,13.3,510.51,340.81,300.28
9/13/2023 19:00,14.69,0.71,127.02,1117.3,664.31
9/13/2023 20:00,28.86,14.42,457.5,659.44,520.06
9/13/2023 21:00,13.12,10.19,614.19,277.67,334.39
9/13/2023 22:00,18.17,9.47,957.81,1159.73,882.53
9/13/2023 23:00,7.35,4.06,565.06,1078.99,771.53
9/14/2023 0:00,5.76,3.73,837.2,954.68,631.82
9/14/2023 1:00,33.88,14.13,592.41,1133.47,776.1
9/14/2023 2:00,30.08,4.47,136.71,420.13,329.21
9/14/2023 3:00,25.88,11.63,383.51,1036.37,676.19
9/14/2023 4:00,17.27,5.9,617.99,889.99,620.14
9/14/2023 5:00,10.2,2.09,955.53,1069.76,946.64
9/14/2023 6:00,9.69,0.16,873.22,996.91,863.73
9/14/2023 7:00,12.51,8.16,305.52,546.5,411.56
9/14/2023 8:00,21.48,14.64,298.1,974.4,699.74
9/14/2023 9:00,26.44,5.54,281.06,462.46,221.83
9/14/2023 10:00,24.81,5.36,930.25,528.59,463.29
9/14/2023 11:00,13.4,5.16,867.4,307.91,334.21
9/14/2023 12:00,33.65,7.81,797.4,1135.08,827.95
9/14/2023 13:00,27.14,6.61,453.46,491,360.14
9/14/2023 14:00,21.63,13.2,553.94,720.62,414.34
9/14/2023 15:00,23.35,7.58,517.9,591.33,476.92
9/14/2023 16:00,17.59,7.62,328.06,1159.93,787.99
9/14/2023 17:00,12.43,2.08,554.53,535.05,511.82
9/14/2023 18:00,15.68,14.74,127.45,978.55,571.73
9/14/2023 19:00,27.74,3.75,218.63,1055.42,633.09
9/14/2023 20:00,5.43,1.1,897.93,635.61,426.84
9/14/2023 21:00,8.48,9.95,776.51,578.17,486.53
9/14/2023 22:00,6.38,8.93,480.58,947.75,708.93
9/14/2023 23:00,6.22,6.23,565.44,1112.9,749.61
9/15/2023 0:00,30.66,6.33,433,954.93,766.1
9/15/2023 1:00,26.11,11.78,766.7,427.13,395.61
9/15/2023 2:00,19.23,2.94,805.77,1088.31,821.19
9/15/2023 3:00,7.94,12.3,786.96,587.58,440.55
9/15/2023 4:00,19.75,9.73,750.35,776.23,629.2
9/15/2023 5:00,19.2,6.28,284.05,1031.44,576.08
9/15/2023 6:00,10.2,6.87,404.17,388.39,347.87
9/15/2023 7:00,18.02,3.85,522.86,984.51,731.11
9/15/2023 8:00,16.96,11.28,397.71,796.16,624.08
9/15/2023 9:00,23.48,7.69,779.45,1093.34,760.13
9/15/2023 10:00,24.05,4.81,396.42,371.97,310.01
9/15/2023 11:00,6.36,8.94,224.41,620.68,444.59
9/15/2023 12:00,16.24,14.94,459.14,1032.84,732.15
9/15/2023 13:00,23.78,6.53,981.92,219.23,284.01
9/15/2023 14:00,20.09,13.81,303.29,312.2,127
9/15/2023 15:00,30.69,5.18,650.94,1190.57,861.36
9/15/2023 16:00,24.76,0.82,489.68,480.39,378.46
9/15/2023 17:00,9.89,3.06,163.92,1175.54,709.47
9/15/2023 18:00,7.12,6.28,539.09,382.53,374.91
9/15/2023 19:00,24.27,3.29,731.95,561.09,480.47
9/15/2023 20:00,5.8,0,561.9,952.87,618.14
9/15/2023 21:00,22.57,13.73,884.9,857.78,593.7
9/15/2023 22:00,33.21,12.66,360.04,781.12,482.97
9/15/2023 23:00,22.26,11.13,177.62,729.9,592
9/16/2023 0:00,16.65,2.52,942.91,1043.44,850.53
9/16/2023 1:00,24.3,1.81,440.38,434.95,358.29
9/16/2023 2:00,18.75,1.01,618.76,642.47,500.05
9/16/2023 3:00,21.37,10.86,812.8,355.45,362.38
9/16/2023 4:00,33.24,13.93,391.88,795.94,612.91
9/16/2023 5:00,16.58,6.46,744.55,450.54,394.06
9/16/2023 6:00,33.84,1.79,221.88,533.84,393.35
9/16/2023 7:00,32.16,7.69,362.16,671.25,456.99
9/16/2023 8:00,10.87,5.23,230.24,226.77,278.59
9/16/2023 9:00,7.08,5.62,830.11,291.94,377.74
9/16/2023 10:00,8.02,9.32,300.38,885.93,652.98
9/16/2023 11:00,5.55,10.78,745.66,628.97,496.22
9/16/2023 12:00,7.83,1.66,948.97,1064.79,881.41
9/16/2023 13:00,25.49,0.53,574.99,894.67,636.12
9/16/2023 14:00,7.14,14.91,586.03,208.1,246.08
9/16/2023 15:00,14.57,3.49,514.93,816.71,674.42
9/16/2023 16:00,30.35,0.81,393.3,293.72,202.68
9/16/2023 17:00,5.7,2.85,528.09,980.93,704.06
9/16/2023 18:00,29.43,0.58,642.53,1191.51,865.25
9/16/2023 19:00,13.46,5.88,987.39,731.2,661.61
9/16/2023 20:00,8.54,12.04,943.99,882.78,694.72
9/16/2023 21:00,25.9,5.12,875.94,437.31,541.38
9/16/2023 22:00,23.87,6.66,900.22,637.6,497.19
9/16/2023 23:00,31.32,10.13,521.06,1056.1,809.8
9/17/2023 0:00,27.05,7.63,691.7,367.42,418.78
9/17/2023 1:00,29.1,12.92,905.56,465.54,554.19
9/17/2023 2:00,13.46,12.99,453.66,645.43,397.28
9/17/2023 3:00,10.32,0.15,965.59,912.25,697.01
9/17/2023 4:00,27.52,11.67,474.21,575.88,513.8
9/17/2023 5:00,29.21,6.91,640.97,1127.73,710.29
9/17/2023 6:00,34.72,14.83,738.82,294.46,242.63
9/17/2023 7:00,17.38,7.25,955.53,570.8,508.45
9/17/2023 8:00,16.16,14.8,320.15,908.95,617.52
9/17/2023 9:00,28.29,11.32,771.52,425.99,488.38
9/17/2023 10:00,15.22,3.73,568.73,856.41,617.96
9/17/2023 11:00,32.92,8.08,341.7,364.22,255.65
9/17/2023 12:00,30.75,14.88,798.95,255.98,327.46
9/17/2023 13:00,17.87,12.86,597,321.02,334.2
9/17/2023 14:00,27.53,1.46,694.88,1129.98,838.88
9/17/2023 15:00,27.64,10.6,390.61,751.75,519.21
9/17/2023 16:00,8.09,5.18,533.15,996.35,606.16
9/17/2023 17:00,32.08,0.1,655.62,532.65,404.83
9/17/2023 18:00,20.16,6.05,464.42,792.66,638.89
9/17/2023 19:00,29.79,3.52,278.54,694.95,481.68
9/17/2023 20:00,14.6,12.28,965.48,1145.74,863.18
9/17/2023 21:00,31.87,5.06,560.32,947.57,736.01
9/17/2023 22:00,16.68,12.41,760.53,930.54,652.68
9/17/2023 23:00,5.33,0.01,469.94,246.35,230.53
9/18/2023 0:00,32.16,4.62,419.62,749.67,540.15
9/18/2023 1:00,7.74,3.62,466.45,666.99,471.05
9/18/2023 2:00,14.58,3.5,468.28,1127.84,775.05
9/18/2023 3:00,33.5,1.02,589.76,457.34,382.87
9/18/2023 4:00,33.52,2.81,589.12,469.83,329.48
9/18/2023 5:00,22.2,8.33,547.44,611.35,484.54
9/18/2023 6:00,23.96,4.37,221.31,443.37,243.43
9/18/2023 7:00,18.45,6.26,546.47,329.18,314.46
9/18/2023 8:00,13.8,5.65,252.19,1057.41,753.03
9/18/2023 9:00,14.86,13.14,213.52,758.28,482.31
9/18/2023 10:00,25.18,13.58,939.38,1061.36,764.76
9/18/2023 11:00,27.57,7.39,644.46,1031.13,740.48
9/18/2023 12:00,28.75,4.95,693.54,482.04,385.84
9/18/2023 13:00,28.69,1.6,461.61,747.74,570.53
9/18/2023 14:00,7.74,14.3,918.08,283.22,344.72
9/18/2023 15:00,19.83,0.9,674.14,1115.25,889.38
9/18/2023 16:00,6.73,4.46,792.25,604.26,578.71
9/18/2023 17:00,21.49,4.47,431.71,593.68,434.45
9/18/2023 18:00,18.25,4.81,964.01,502.76,529.76
9/18/2023 19:00,31.63,2.46,838.42,660.66,544.17
9/18/2023 20:00,15.53,11.75,868.55,451.76,445.29
9/18/2023 21:00,8.51,1.84,254.97,574.85,377.65
9/18/2023 22:00,9.29,9.52,343.87,999.95,706.11
9/18/2023 23:00,27.85,1.86,357.06,1034.26,763.43
9/19/2023 0:00,23.55,1.06,343.82,504.18,411.1
9/19/2023 1:00,8.03,13.64,869.87,669.01,620.11
9/19/2023 2:00,7.52,2.85,128.7,1073.82,715.9
9/19/2023 3:00,26.03,12.32,168.49,252.67,211.63
9/19/2023 4:00,7.18,8.17,346.52,1089.14,665.01
9/19/2023 5:00,29.66,1.17,279.89,419.18,392.42
9/19/2023 6:00,26.19,14.33,308.67,878.54,677.65
9/19/2023 7:00,7.44,3.7,818.15,782.55,621.1
9/19/2023 8:00,7.55,12.89,606.81,752.94,553.3
9/19/2023 9:00,34.6,2.53,105.19,1059.36,687.02
9/19/2023 10:00,16.23,12.81,486.39,301.57,304.48
9/19/2023 11:00,16.12,0.2,467.1,547.03,411.52
9/19/2023 12:00,29.38,7.68,202.55,738.25,420.19
9/19/2023 13:00,33.42,11.54,708.53,1011.29,762.61
9/19/2023 14:00,34.58,14.02,731.89,416.44,422.41
